"JJEB","JJEB","jjeb","ELECTRONIC BUSINESS  DEPARTMENT","電子商務課"
"JJP1","JJP1","jjp1","企劃一課","企劃一課"
"JJP2","JJP2","jjp2","企劃二課","企劃二課"
"JJSDS","JJSDS","jjsds","SERVICE DEVELOPMENT  DEPARTMENT","航線規劃課"
"JJST","JJST","jjst","SHIP TECHNOLOGY TEAM","船舶技術組"
"L","L","l","香  港","香  港"
"M","M","m","怡  春","怡  春"
"M1","M1","m1","貨運承攬課","貨運承攬課"
"M2","M2","m2","IAL","IAL"
"M2-KHH","M2-KHH","m2-khh","IAL/高雄","IAL/高雄"
"M2-TPE","M2-TPE","m2-tpe","IAL/台北","IAL/台北"
"M2-TXG","M2-TXG","m2-txg","IAL/台中","IAL/台中"
"M3","M3","m3","怡春/財務部","怡春/財務部"
"M4","M4","m4","怡春/管理部","怡春/管理部"
"M5","M5","m5","怡春/高雄碼頭","怡春/高雄碼頭"
"M6","M6","m6","怡春/ 資訊科技部","怡春/ 資訊科技部"
"M7","M7","m7","怡春/台中碼頭","怡春/台中碼頭"
"M8","M8","m8","怡春/船務部","怡春/船務部"
"M9","M9","m9","怡春/作業部","怡春/作業部"
"MT","MT","mt","MARINE TECHNOLOGY","海技部"
"MT1","MT1","mt1","SHIP SAFETY MANAGEMENT DEPARTMENT I","船舶管理一課"
"MT2","MT2","mt2","SHIP SAFETY MANAGEMENT DEPARTMENT II","船舶管理二課"
"MT3","MT3","mt3","FLEET EFFICIENCY MANAGEMENT DEPARTMENT","船隊效益管理課"
"MT4","MT4","mt4","FLEET RISK MANAGEMENT DEPARTMENT","船隊風險管理課"
"P","P","p","KAOHSIUNG TERMINAL","高雄碼頭"
"P1","P1","p1","CONTAINER YARD OPERATION DEPARTMENT","場務課"
"P2","P2","p2","EQUIPMENT CONTROL  DEPARTMENT","管制課"
"P2-1","P2-1","p2-1","EQUIPMENT CONTROL DEPARTMENT I","管制一課"
"P2-2","P2-2","p2-2","EQUIPMENT CONTROL DEPARTMENT II","管制二課"
"P3","P3","p3","MAINTENANCE DEPARTMENT","維修課"
"P4","P4","p4","GENERAL AFFAIRS DEPARTMENT","總務課"
"P5","P5","p5","SHIPSIDE OPERATION DEPARTMENT","作業課"
"P6","P6","p6","#57W維修課","#57W維修課"
"P7","P7","p7","OCCUPATIONAL SAFETY & HEALTH","勞安管理課"
"P8","P8","p8","MARINE DEPARTMENT","船務課"
"Q","Q","q","AUDITING DIVISION","稽核室"
"SRM","SRM","srm","OCCUPATIONAL SAFETY AND HEALTH/RISK MAN","勞安風管部"
"SRM1","SRM1","srm1","LEGAL AFFAIRS & INSURANCE DEPARTMENT","法務保險課"
"SRM2","SRM2","srm2","OCCUPATIONAL SAFETY AND HEALTH DEPARTMEN","勞安管理課"
"V","V","v","OFFICE OF THE CHAIRMAN","總經理室"
"V1","V1","v1","美洲線研發處","美洲線研發處"
"V2","V2","v2","駐外代表","駐外代表"
"V3","V3","v3","MANAGEMENT RESEARCH & DEVELOPMENT UNIT","經營研究處"
"V4","V4","v4","STRATEGY RESEARCH UNIT","策略研究處"
"V5","V5","v5","EFFICIENCY IMPROVEMENT RESEARCH & DEVELO","效率提升研究處"
"V6","V6","v6","INVESTMENT RESEARCH & DEVELOPMENT UNIT","投資事業處"
"V7","V7","v7","LINE MANAGEMENT UNIT","航線管理處"
"W","W","w","TERMINAL DEPARTMENT","碼頭事業部"
"W1","W1","w1","BUSINESS PROJECT DEPARTMENT","業務課"
"W1-1","W1-1","w1-1","BUSINESS PROJECT DEPARTMENT Ⅰ","業務一課"
"W1-2","W1-2","w1-2","BUSINESS PROJECT DEPARTMENTⅡ","業務二課"
"W2","W2","w2","EFFCIENCY MANAGEMENT","場務課"
"W2-1","W2-1","w2-1","Efficiency Management Department Ⅰ","場務一課"
"W2-2","W2-2","w2-2","Efficiency Management Department Ⅱ","場務二課"
"WHCF","WHCF","whcf","基金會","基金會"
"X","X","x","TAICHUNG TERMINAL","台中碼頭"
"X1","X1","x1","ADMINISTRATION SECTION","管理課"
"X1-1","X1-1","x1-1","GENERAL AFFAIRS SECTION","總務課"
"X1-2","X1-2","x1-2","SUPPLY DEPARTMENT","物料課"
"X2","X2","x2","DOCUMENTATION SECTION","文件課"
"X3","X3","x3","COOPERATE BUSINESS DEPARTMENT","營運課"
"X4","X4","x4","OCCUPATIONAL SAFETY AND HEALTH DEPARTMEN","勞安管理課"
"Y","Y","y","其它","其它"
"Z","Z","z","離職","離職"
